국가,,,,,,,,
국가코드,디스플레이순서,,,,,,,
스페인,1,,,,,,,
그리스,2,,,,,,,
영국,3,,,,,,,
캄보디아,4,,,,,,,
알제리,5,,,,,,,
,,,,,,,,
고객,,,,,,,,
고객코드,디스플레이순서,,,,,,,
Santander,1,,,,,,,
NBG,2,,,,,,,
Postbank,3,,,,,,,
KB Prasac,4,,,,,,,
BEA,5,,,,,,,
,,,,,,,,
제품군,,,,,,,,
제품군코드,디스플레이순서,,,,,,,
환류기,1,,,,,,,
출금기,2,,,,,,,
입출금기,3,,,,,,,
TCR,4,,,,,,,
BTS,5,,,,,,,
,,,,,,,,
제품정보,,,,,,,,
제품코드,제품군코드,디스플레이순서,,,,,,
MX8200S,환류기,1,,,,,,
MX8200ST,환류기,2,,,,,,
MX5800,출금기,1,,,,,,
MX5800T,출금기,2,,,,,,
MX5600S,출금기,3,,,,,,
MX5600ST,출금기,4,,,,,,
,,,,,,,,
유닛그룹,,,,,,,,
유닛그룹코드,유닛그룹설명,디스플레이순서,,,,,,
CE,CE,1,,,,,,
MECAR/UNIT,MECAR/UNIT,2,,,,,,
BODY,BODY,3,,,,,,
System Part,System Part,4,,,,,,
기타옵션모듈,기타옵션모듈,5,,,,,,
,,,,,,,,
유닛,,,,,,,,
유닛코드,유닛그룹코드,유닛설명,디스플레이순서,,,,,
CE,CE,Control Unit,1,,,,,
OPL,MECAR/UNIT,Customer Monitor,1,,,,,
MCU,MECAR/UNIT,Card Reader,2,,,,,
,,,,,,,,
스펙항목,,,,,,,,
스펙항목코드,스펙항목명,스펙항목설명,,,,,,
S000001,OS,Operating System,,,,,,
S000002,MAIN_BOARD,Main Board,,,,,,
S000003,CPU,CPU,,,,,,
S000004,Generation,CPU Generation,,,,,,
S000005,RAM,RAM,,,,,,
S000006,HDD1st,HDD First,,,,,,
S000007,HDD2nd,HDD Second,,,,,,
S000008,ODD,ODD,,,,,,
S000009,MCU_TYPE,Card Reader Type,,,,,,
S000010,COM_IF,Communication Interface,,,,,,
S000011,ANTI-SKIMMING,Anti Skimming,,,,,,
S000012,ACT,Anti Card Trapping,,,,,,
S000013,ANTI-SHIMMING,Anti Catd Shimming,,,,,,
S000014,DISPLAY,Display Size,,,,,,
S000015,BRIGHTNESS,Brightness,,,,,,
S000016,TOUCH_SCREEN,Touch Screen,,,,,,
S000017,FUNCTION_KEY,Funtion Key,,,,,,
S000018,FUNCTION_KEY BRAILLE,Function Key Braille,,,,,,
S000019,PRIVACY_FILTER,Pricvacy Filter,,,,,,
,,,,,,,,
유닛 스펙항목 리스트,,,,,,,,
유닛코드,스펙항목코드,디스플레이순서,,,,,,
CE,S000001,1,,,,,,
CE,S000002,2,,,,,,
CE,S000003,3,,,,,,
CE,S000004,4,,,,,,
CE,S000005,5,,,,,,
CE,S000006,6,,,,,,
CE,S000007,7,,,,,,
CE,S000008,8,,,,,,
MCU,S000009,1,,,,,,
MCU,S000010,2,,,,,,
MCU,S000011,3,,,,,,
MCU,S000012,4,,,,,,
MCU,S000013,5,,,,,,
OPL,S000014,1,,,,,,
OPL,S000015,2,,,,,,
OPL,S000016,3,,,,,,
OPL,S000017,4,,,,,,
OPL,S000018,5,,,,,,
OPL,S000019,6,,,,,,
,,,,,,,,
스펙,,,,,,,,
스펙코드,스펙항목코드,스펙명,스펙설명,디스플레이순서,,,,
O000001,S000001,WIN10_2016,Windows10 2016,1,,,,
O000002,S000001,WIN10_2019,Windows10 2019,2,,,,
O000003,S000001,WIN10_2021,Windows10 2021,3,,,,
O000004,S000001,WIN10_2024,Windows10 2024,4,,,,
O000005,S000001,WINCE_5.0,Window CE 5.0,5,,,,
O000006,S000001,WINCE_6.0,Window CE 6.0,6,,,,
O000007,S000001,WINCE_7.0,Window CE 7.0,7,,,,
O000008,S000002,H310,H310,1,,,,
O000009,S000002,H110,H110,2,,,,
O000010,S000002,H610,H610,3,,,,
O000011,S000002,Q170,Q170,4,,,,
O000012,S000002,Q370,Q370,5,,,,
O000013,S000002,Q670,Q670,6,,,,
O000014,S000003,I5,I5,1,,,,
O000015,S000003,I7,I7,2,,,,
O000016,S000004,6th,6th,1,,,,
O000017,S000004,7th,7th,2,,,,
O000018,S000004,8th,8th,3,,,,
O000019,S000004,9th,9th,4,,,,
O000020,S000004,12th,12th,5,,,,
O000021,S000005,4GB,4GB,1,,,,
O000022,S000005,8GB,8GB,2,,,,
O000023,S000005,16Gb,16Gb,3,,,,
O000024,S000006,256GB,256GB,1,,,,
O000025,S000006,512GB,512GB,2,,,,
O000026,S000006,1TB,1TB,3,,,,
O000027,S000007,256GB,256GB,1,,,,
